location_id,sensor_id,location_name,datetime_utc,datetime_local,parameter,parameter_display,units,value,coordinates_latitude,coordinates_longitude,country_code,country_name,is_mobile,is_monitor,date,hour_utc,day_of_week,month,has_coordinates
50,12234794,"Punjabi Bagh, Delhi - DPCC",2026-03-13 04:30:00+00:00,2026-03-13 10:00:00+05:30,unknown,unknown,unknown,38.9,28.674045,77.131023,unknown,unknown,,,2026-03-13,4,Friday,2026-03,True
50,12234795,"Punjabi Bagh, Delhi - DPCC",2026-03-13 04:30:00+00:00,2026-03-13 10:00:00+05:30,unknown,unknown,unknown,215.0,28.674045,77.131023,unknown,unknown,,,2026-03-13,4,Friday,2026-03,True
50,12234796,"Punjabi Bagh, Delhi - DPCC",2026-03-13 04:30:00+00:00,2026-03-13 10:00:00+05:30,unknown,unknown,unknown,110.0,28.674045,77.131023,unknown,unknown,,,2026-03-13,4,Friday,2026-03,True
50,12234797,"Punjabi Bagh, Delhi - DPCC",2026-03-13 04:30:00+00:00,2026-03-13 10:00:00+05:30,unknown,unknown,unknown,47.0,28.674045,77.131023,unknown,unknown,,,2026-03-13,4,Friday,2026-03,True
50,12234798,"Punjabi Bagh, Delhi - DPCC",2026-03-13 04:30:00+00:00,2026-03-13 10:00:00+05:30,unknown,unknown,unknown,40.7,28.674045,77.131023,unknown,unknown,,,2026-03-13,4,Friday,2026-03,True
50,12234799,"Punjabi Bagh, Delhi - DPCC",2026-03-13 04:30:00+00:00,2026-03-13 10:00:00+05:30,unknown,unknown,unknown,27.2,28.674045,77.131023,unknown,unknown,,,2026-03-13,4,Friday,2026-03,True
50,14340716,"Punjabi Bagh, Delhi - DPCC",2026-03-13 04:30:00+00:00,2026-03-13 10:00:00+05:30,unknown,unknown,unknown,0.0186999999999999,28.674045,77.131023,unknown,unknown,,,2026-03-13,4,Friday,2026-03,True
50,14340717,"Punjabi Bagh, Delhi - DPCC",2026-03-13 04:30:00+00:00,2026-03-13 10:00:00+05:30,unknown,unknown,unknown,212.0,28.674045,77.131023,unknown,unknown,,,2026-03-13,4,Friday,2026-03,True
50,14340718,"Punjabi Bagh, Delhi - DPCC",2026-03-13 04:30:00+00:00,2026-03-13 10:00:00+05:30,unknown,unknown,unknown,1.1,28.674045,77.131023,unknown,unknown,,,2026-03-13,4,Friday,2026-03,True
103,13861,"Income Tax Office, Delhi - CPCB",2018-02-22 03:45:00+00:00,2018-02-22 09:15:00+05:30,unknown,unknown,unknown,224.0,28.6235,77.2494,unknown,unknown,,,2018-02-22,3,Thursday,2018-02,True
103,13862,"Income Tax Office, Delhi - CPCB",2018-02-22 03:45:00+00:00,2018-02-22 09:15:00+05:30,unknown,unknown,unknown,312.0,28.6235,77.2494,unknown,unknown,,,2018-02-22,3,Thursday,2018-02,True
103,13863,"Income Tax Office, Delhi - CPCB",2018-02-22 03:45:00+00:00,2018-02-22 09:15:00+05:30,unknown,unknown,unknown,132.1,28.6235,77.2494,unknown,unknown,,,2018-02-22,3,Thursday,2018-02,True
235,380,"Anand Vihar, New Delhi - DPCC",2018-01-23 04:30:00+00:00,2018-01-23 10:00:00+05:30,unknown,unknown,unknown,17.87,28.646835,77.316032,unknown,unknown,,,2018-01-23,4,Tuesday,2018-01,True
235,383,"Anand Vihar, New Delhi - DPCC",2018-02-21 21:15:00+00:00,2018-02-22 02:45:00+05:30,unknown,unknown,unknown,8.9,28.646835,77.316032,unknown,unknown,,,2018-02-21,21,Wednesday,2018-02,True
235,384,"Anand Vihar, New Delhi - DPCC",2018-02-21 21:15:00+00:00,2018-02-22 02:45:00+05:30,unknown,unknown,unknown,271.0,28.646835,77.316032,unknown,unknown,,,2018-02-21,21,Wednesday,2018-02,True
235,12235605,"Anand Vihar, New Delhi - DPCC",2026-03-13 01:30:00+00:00,2026-03-13 07:00:00+05:30,unknown,unknown,unknown,3.26,28.646835,77.316032,unknown,unknown,,,2026-03-13,1,Friday,2026-03,True
235,12235606,"Anand Vihar, New Delhi - DPCC",2026-03-13 01:30:00+00:00,2026-03-13 07:00:00+05:30,unknown,unknown,unknown,31.4,28.646835,77.316032,unknown,unknown,,,2026-03-13,1,Friday,2026-03,True
235,12235607,"Anand Vihar, New Delhi - DPCC",2026-03-13 01:30:00+00:00,2026-03-13 07:00:00+05:30,unknown,unknown,unknown,2.3,28.646835,77.316032,unknown,unknown,,,2026-03-13,1,Friday,2026-03,True
