location_id,sensor_id,location_name,datetime_utc,datetime_local,parameter,parameter_display,units,value,coordinates_latitude,coordinates_longitude,country_code,country_name,is_mobile,is_monitor
103,13862,"Income Tax Office, Delhi - CPCB",2018-02-22T03:45:00Z,2018-02-22T09:15:00+05:30,,,,312.0,28.623499999999996,77.2494,,,,
235,380,"Anand Vihar, New Delhi - DPCC",2018-01-23T04:30:00Z,2018-01-23T10:00:00+05:30,,,,17.87,28.646835,77.316032,,,,
235,383,"Anand Vihar, New Delhi - DPCC",2018-02-21T21:15:00Z,2018-02-22T02:45:00+05:30,,,,8.9,28.646835,77.316032,,,,
235,382,"Anand Vihar, New Delhi - DPCC",2018-02-21T21:15:00Z,2018-02-22T02:45:00+05:30,,,,469.0,28.646835,77.316032,,,,
235,381,"Anand Vihar, New Delhi - DPCC",2018-02-21T21:15:00Z,2018-02-22T02:45:00+05:30,,,,670.0,28.646835,77.316032,,,,
235,385,"Anand Vihar, New Delhi - DPCC",2016-03-21T14:45:00Z,2016-03-21T20:15:00+05:30,,,,1300.0,28.646835,77.316032,,,,
235,384,"Anand Vihar, New Delhi - DPCC",2018-02-21T21:15:00Z,2018-02-22T02:45:00+05:30,,,,271.0,28.646835,77.316032,,,,
235,12235608,"Anand Vihar, New Delhi - DPCC",2026-03-13T01:30:00Z,2026-03-13T07:00:00+05:30,,,,6.4,28.646835,77.316032,,,,
235,12235606,"Anand Vihar, New Delhi - DPCC",2026-03-13T01:30:00Z,2026-03-13T07:00:00+05:30,,,,31.4,28.646835,77.316032,,,,
235,12235613,"Anand Vihar, New Delhi - DPCC",2026-03-13T01:30:00Z,2026-03-13T07:00:00+05:30,,,,24.0,28.646835,77.316032,,,,
235,12235611,"Anand Vihar, New Delhi - DPCC",2026-03-13T01:30:00Z,2026-03-13T07:00:00+05:30,,,,67.0,28.646835,77.316032,,,,
235,12235605,"Anand Vihar, New Delhi - DPCC",2026-03-13T01:30:00Z,2026-03-13T07:00:00+05:30,,,,3.26,28.646835,77.316032,,,,
235,12235612,"Anand Vihar, New Delhi - DPCC",2026-03-13T01:30:00Z,2026-03-13T07:00:00+05:30,,,,25.5,28.646835,77.316032,,,,
235,12235607,"Anand Vihar, New Delhi - DPCC",2026-03-13T01:30:00Z,2026-03-13T07:00:00+05:30,,,,2.3,28.646835,77.316032,,,,
235,12235609,"Anand Vihar, New Delhi - DPCC",2026-03-13T01:30:00Z,2026-03-13T07:00:00+05:30,,,,300.0,28.646835,77.316032,,,,
235,12235610,"Anand Vihar, New Delhi - DPCC",2026-03-13T01:30:00Z,2026-03-13T07:00:00+05:30,,,,97.0,28.646835,77.316032,,,,
235,14340866,"Anand Vihar, New Delhi - DPCC",2026-03-13T01:30:00Z,2026-03-13T07:00:00+05:30,,,,0.3,28.646835,77.316032,,,,
235,14340864,"Anand Vihar, New Delhi - DPCC",2026-03-13T01:30:00Z,2026-03-13T07:00:00+05:30,,,,0.026699999999999998,28.646835,77.316032,,,,
235,14340865,"Anand Vihar, New Delhi - DPCC",2026-03-13T01:30:00Z,2026-03-13T07:00:00+05:30,,,,130.0,28.646835,77.316032,,,,
236,386,"Mandir Marg, Delhi - DPCC",2018-02-21T16:45:00Z,2018-02-21T22:15:00+05:30,,,,7500.0,28.6341,77.2005,,,,
236,391,"Mandir Marg, Delhi - DPCC",2018-02-21T21:15:00Z,2018-02-22T02:45:00+05:30,,,,208.0,28.6341,77.2005,,,,
236,387,"Mandir Marg, Delhi - DPCC",2018-02-21T21:15:00Z,2018-02-22T02:45:00+05:30,,,,14.47,28.6341,77.2005,,,,
236,388,"Mandir Marg, Delhi - DPCC",2018-02-21T21:15:00Z,2018-02-22T02:45:00+05:30,,,,149.0,28.6341,77.2005,,,,
236,389,"Mandir Marg, Delhi - DPCC",2018-02-21T20:45:00Z,2018-02-22T02:15:00+05:30,,,,63.1,28.6341,77.2005,,,,
236,390,"Mandir Marg, Delhi - DPCC",2018-02-21T21:15:00Z,2018-02-22T02:45:00+05:30,,,,2.6,28.6341,77.2005,,,,
286,562,Collectorate - Gaya - BSPCB,2018-02-22T03:00:00Z,2018-02-22T08:30:00+05:30,,,,105.0,24.7489694,84.9438395,,,,
286,563,Collectorate - Gaya - BSPCB,2018-02-22T03:00:00Z,2018-02-22T08:30:00+05:30,,,,9.5,24.7489694,84.9438395,,,,
286,564,Collectorate - Gaya - BSPCB,2018-02-22T03:00:00Z,2018-02-22T08:30:00+05:30,,,,680.0,24.7489694,84.9438395,,,,
286,565,Collectorate - Gaya - BSPCB,2018-02-22T03:00:00Z,2018-02-22T08:30:00+05:30,,,,43.7,24.7489694,84.9438395,,,,
286,474,Collectorate - Gaya - BSPCB,2018-02-22T03:00:00Z,2018-02-22T08:30:00+05:30,,,,131.2,24.7489694,84.9438395,,,,
301,5405,"Vikas Sadan, Gurugram - HSPCB",2022-10-31T02:00:00Z,2022-10-31T07:30:00+05:30,,,,25.92,28.4501238,77.0263051,,,,
301,5409,"Vikas Sadan, Gurugram - HSPCB",2022-10-31T02:00:00Z,2022-10-31T07:30:00+05:30,,,,15.34,28.4501238,77.0263051,,,,
301,1166,"Vikas Sadan, Gurugram - HSPCB",2022-10-31T02:00:00Z,2022-10-31T07:30:00+05:30,,,,152.9,28.4501238,77.0263051,,,,
301,5396,"Vikas Sadan, Gurugram - HSPCB",2022-10-31T02:00:00Z,2022-10-31T07:30:00+05:30,,,,210.0,28.4501238,77.0263051,,,,
301,506,"Vikas Sadan, Gurugram - HSPCB",2016-04-12T09:30:00Z,2016-04-12T15:00:00+05:30,,,,132.94,28.4501238,77.0263051,,,,
301,5407,"Vikas Sadan, Gurugram - HSPCB",2022-10-31T02:00:00Z,2022-10-31T07:30:00+05:30,,,,3.74,28.4501238,77.0263051,,,,
301,14258983,"Vikas Sadan, Gurugram - HSPCB",2026-03-13T04:00:00Z,2026-03-13T09:30:00+05:30,,,,1.89,28.4501238,77.0263051,,,,
301,14258990,"Vikas Sadan, Gurugram - HSPCB",2026-03-13T04:00:00Z,2026-03-13T09:30:00+05:30,,,,5.97,28.4501238,77.0263051,,,,
301,14258985,"Vikas Sadan, Gurugram - HSPCB",2026-03-13T04:00:00Z,2026-03-13T09:30:00+05:30,,,,30.72,28.4501238,77.0263051,,,,
301,14258988,"Vikas Sadan, Gurugram - HSPCB",2026-03-13T04:00:00Z,2026-03-13T09:30:00+05:30,,,,148.5,28.4501238,77.0263051,,,,
301,14258984,"Vikas Sadan, Gurugram - HSPCB",2026-03-13T04:00:00Z,2026-03-13T09:30:00+05:30,,,,49.74,28.4501238,77.0263051,,,,
301,14341790,"Vikas Sadan, Gurugram - HSPCB",2026-03-13T04:00:00Z,2026-03-13T09:30:00+05:30,,,,278.13,28.4501238,77.0263051,,,,
301,14258986,"Vikas Sadan, Gurugram - HSPCB",2026-03-13T04:00:00Z,2026-03-13T09:30:00+05:30,,,,22.17,28.4501238,77.0263051,,,,
301,14341789,"Vikas Sadan, Gurugram - HSPCB",2026-03-13T04:00:00Z,2026-03-13T09:30:00+05:30,,,,0.07257,28.4501238,77.0263051,,,,
301,14258987,"Vikas Sadan, Gurugram - HSPCB",2026-03-13T04:00:00Z,2026-03-13T09:30:00+05:30,,,,202.5,28.4501238,77.0263051,,,,
301,14341791,"Vikas Sadan, Gurugram - HSPCB",2026-03-13T04:00:00Z,2026-03-13T09:30:00+05:30,,,,1.79,28.4501238,77.0263051,,,,
301,14258991,"Vikas Sadan, Gurugram - HSPCB",2026-03-13T04:00:00Z,2026-03-13T09:30:00+05:30,,,,-52.01,28.4501238,77.0263051,,,,
301,14258989,"Vikas Sadan, Gurugram - HSPCB",2026-03-13T04:00:00Z,2026-03-13T09:30:00+05:30,,,,-25.01,28.4501238,77.0263051,,,,
346,14306,"MD University, Rohtak - HSPCB",2018-02-22T03:45:00Z,2018-02-22T09:15:00+05:30,,,,132.25,28.876028,76.619464,,,,
346,613,"MD University, Rohtak - HSPCB",2018-02-22T03:45:00Z,2018-02-22T09:15:00+05:30,,,,13.55,28.876028,76.619464,,,,
346,593,"MD University, Rohtak - HSPCB",2018-02-22T03:45:00Z,2018-02-22T09:15:00+05:30,,,,17.0,28.876028,76.619464,,,,
346,13545,"MD University, Rohtak - HSPCB",2017-10-13T09:15:00Z,2017-10-13T14:45:00+05:30,,,,72.92,28.876028,76.619464,,,,
346,612,"MD University, Rohtak - HSPCB",2018-02-22T03:45:00Z,2018-02-22T09:15:00+05:30,,,,30.87,28.876028,76.619464,,,,
346,614,"MD University, Rohtak - HSPCB",2018-02-22T03:45:00Z,2018-02-22T09:15:00+05:30,,,,910.0,28.876028,76.619464,,,,
354,606,"Lalbagh, DN Park",2018-02-22T04:00:00Z,2018-02-22T09:30:00+05:30,,,,109.32,26.84578611,80.93874444,,,,
354,604,"Lalbagh, DN Park",2018-02-22T04:00:00Z,2018-02-22T09:30:00+05:30,,,,1190.0,26.84578611,80.93874444,,,,
354,605,"Lalbagh, DN Park",2018-02-22T04:00:00Z,2018-02-22T09:30:00+05:30,,,,22.72,26.84578611,80.93874444,,,,
354,14362,"Lalbagh, DN Park",2018-02-22T04:00:00Z,2018-02-22T09:30:00+05:30,,,,224.64,26.84578611,80.93874444,,,,
354,14363,"Lalbagh, DN Park",2018-02-22T04:00:00Z,2018-02-22T09:30:00+05:30,,,,30.9,26.84578611,80.93874444,,,,
378,5374,Alandur Bus Depot,2018-02-22T03:45:00Z,2018-02-22T09:15:00+05:30,,,,12.39,12.99711389,80.19151667,,,,
